year,housing,study_hours,sleep_hours,commute_min
Sophomore,On-campus,12.0,7.6,1
First-year,On-campus,7.8,7.0,3
Junior,On-campus,15.0,9.0,3
First-year,Off-campus,10.1,6.5,32
Senior,Off-campus,5.1,6.0,21
Sophomore,Off-campus,7.5,6.7,97
Junior,Off-campus,12.1,7.2,11
First-year,Off-campus,11.8,9.0,33
Sophomore,Off-campus,7.9,7.3,16
First-year,On-campus,12.5,6.8,5
Sophomore,Off-campus,6.0,6.5,40
First-year,Off-campus,7.4,6.6,8
Junior,Off-campus,10.4,6.3,16
Junior,Off-campus,14.4,7.9,7
Sophomore,Off-campus,9.7,6.6,11
First-year,On-campus,13.1,7.4,8
Sophomore,On-campus,20.6,6.4,11
Sophomore,On-campus,15.4,6.9,4
Junior,Off-campus,9.0,7.2,7
First-year,Off-campus,21.4,8.3,7
Junior,Off-campus,16.8,8.5,7
Senior,On-campus,19.2,7.6,7
First-year,Off-campus,15.3,4.9,8
Sophomore,On-campus,10.3,6.6,10
First-year,On-campus,17.8,6.7,6
First-year,On-campus,18.2,6.6,3
Senior,Off-campus,6.0,6.6,34
Sophomore,On-campus,13.3,7.3,8
First-year,On-campus,15.5,6.9,5
Sophomore,Off-campus,20.3,6.9,33
Senior,Off-campus,39.4,6.5,7
Senior,On-campus,30.5,6.2,4
Senior,On-campus,18.1,6.9,6
First-year,Off-campus,10.9,7.1,20
First-year,On-campus,9.8,7.9,7
First-year,On-campus,15.2,7.6,8
First-year,On-campus,13.5,5.9,6
First-year,Off-campus,14.1,7.6,24
Junior,Off-campus,8.7,7.5,16
Junior,Off-campus,28.0,5.5,13
Sophomore,Off-campus,4.2,5.1,31
Junior,Off-campus,12.3,7.9,28
Sophomore,Off-campus,9.7,6.5,43
Senior,Off-campus,11.0,8.0,12
First-year,On-campus,24.4,7.7,1
Sophomore,On-campus,14.3,7.0,6
First-year,On-campus,16.7,5.8,7
Junior,On-campus,7.2,8.2,4
Sophomore,Off-campus,13.8,9.0,19
Senior,Off-campus,11.6,7.4,7
